"","Region","Treatment","Metabolite","Intensity"
"14220","Basal ganglia","C4","Cocamidopropyl betaine",2514104
"14221","Basal ganglia","C4","Cocamidopropyl betaine",1967571
"14222","Basal ganglia","C4","Cocamidopropyl betaine",1796810
"14223","Basal ganglia","C4","Cocamidopropyl betaine",1098713
"14224","Basal ganglia","C4","Cocamidopropyl betaine",604637
"14225","Basal ganglia","Est","Cocamidopropyl betaine",3547612
"14226","Basal ganglia","Est","Cocamidopropyl betaine",5634219
"14227","Basal ganglia","Est","Cocamidopropyl betaine",2673582
"14228","Basal ganglia","Est","Cocamidopropyl betaine",8020102
"14229","Basal ganglia","Est","Cocamidopropyl betaine",2277372
"14230","Basal ganglia","Est","Cocamidopropyl betaine",5889076
"14231","Basal ganglia","Est","Cocamidopropyl betaine",1703227
"14232","Basal ganglia","Est","Cocamidopropyl betaine",8428973
"14233","Hypothalamus","Control","Cocamidopropyl betaine",1427977
"14234","Hypothalamus","Control","Cocamidopropyl betaine",2256099
"14235","Hypothalamus","Control","Cocamidopropyl betaine",1768356
"14236","Hypothalamus","Control","Cocamidopropyl betaine",2529992
"14237","Hypothalamus","Control","Cocamidopropyl betaine",4098640
"14238","Hypothalamus","Control","Cocamidopropyl betaine",3576063
"14239","Hypothalamus","Control","Cocamidopropyl betaine",1957422
"14240","Hypothalamus","Control","Cocamidopropyl betaine",2273327
"14241","Hypothalamus","C4","Cocamidopropyl betaine",2503486
"14242","Hypothalamus","C4","Cocamidopropyl betaine",2153992
"14243","Hypothalamus","C4","Cocamidopropyl betaine",1932643
"14244","Hypothalamus","C4","Cocamidopropyl betaine",4399938
"14245","Hypothalamus","C4","Cocamidopropyl betaine",4137338
"14246","Hypothalamus","C4","Cocamidopropyl betaine",1507340
"14247","Hypothalamus","C4","Cocamidopropyl betaine",1412993
"14248","Hypothalamus","C4","Cocamidopropyl betaine",2715043
"14249","Hypothalamus","Est","Cocamidopropyl betaine",3300069
"14250","Hypothalamus","Est","Cocamidopropyl betaine",2237811
"14251","Hypothalamus","Est","Cocamidopropyl betaine",1985044
"14252","Hypothalamus","Est","Cocamidopropyl betaine",5010705
"14253","Hypothalamus","Est","Cocamidopropyl betaine",2663953
"14254","Hypothalamus","Est","Cocamidopropyl betaine",2550402
"14255","Hypothalamus","Est","Cocamidopropyl betaine",3685100
"14256","Hypothalamus","Est","Cocamidopropyl betaine",2015125
"14257","Hippocampus","Control","Deethylatrazine",13042161
"14258","Hippocampus","Control","Deethylatrazine",21127598
"14259","Hippocampus","Control","Deethylatrazine",15562526
"14260","Hippocampus","Control","Deethylatrazine",18611070
"14261","Hippocampus","Control","Deethylatrazine",13500340
"14262","Hippocampus","Control","Deethylatrazine",13788514
"14263","Hippocampus","Control","Deethylatrazine",15650753
"14264","Hippocampus","Control","Deethylatrazine",12662460
"14265","Hippocampus","C4","Deethylatrazine",17337650
"14266","Hippocampus","C4","Deethylatrazine",19105298
"14267","Hippocampus","C4","Deethylatrazine",15558765
"14268","Hippocampus","C4","Deethylatrazine",13280021
"14269","Hippocampus","C4","Deethylatrazine",13065195
"14270","Hippocampus","C4","Deethylatrazine",15316660
"14271","Hippocampus","C4","Deethylatrazine",10850868
"14272","Hippocampus","C4","Deethylatrazine",11283376
"14273","Hippocampus","Est","Deethylatrazine",3103052
"14274","Hippocampus","Est","Deethylatrazine",13395205
"14275","Hippocampus","Est","Deethylatrazine",20627684
"14276","Hippocampus","Est","Deethylatrazine",12927748
"14277","Hippocampus","Est","Deethylatrazine",21247612
"14278","Hippocampus","Est","Deethylatrazine",9404817
"14279","Hippocampus","Est","Deethylatrazine",20654296
"14280","Hippocampus","Est","Deethylatrazine",7622152
"14281","Basal ganglia","Control","Deethylatrazine",16635978
"14282","Basal ganglia","Control","Deethylatrazine",18505032
"14283","Basal ganglia","Control","Deethylatrazine",10155614
"14284","Basal ganglia","Control","Deethylatrazine",14609455
"14285","Basal ganglia","Control","Deethylatrazine",19591966
"14286","Basal ganglia","Control","Deethylatrazine",18971130
"14287","Basal ganglia","Control","Deethylatrazine",11498371
"14288","Basal ganglia","Control","Deethylatrazine",12644837
"14289","Basal ganglia","C4","Deethylatrazine",18212578
"14290","Basal ganglia","C4","Deethylatrazine",25457096
"14291","Basal ganglia","C4","Deethylatrazine",12245882
"14292","Basal ganglia","C4","Deethylatrazine",17745992
"14293","Basal ganglia","C4","Deethylatrazine",21038460
"14294","Basal ganglia","C4","Deethylatrazine",16878296
"14295","Basal ganglia","C4","Deethylatrazine",14781404
"14296","Basal ganglia","C4","Deethylatrazine",1175752
"14297","Basal ganglia","Est","Deethylatrazine",22183894
"14298","Basal ganglia","Est","Deethylatrazine",16966594
"14299","Basal ganglia","Est","Deethylatrazine",25272616
"14300","Basal ganglia","Est","Deethylatrazine",22897374
"14301","Basal ganglia","Est","Deethylatrazine",19572826
"14302","Basal ganglia","Est","Deethylatrazine",8599672
"14303","Basal ganglia","Est","Deethylatrazine",24580278
"14304","Basal ganglia","Est","Deethylatrazine",20345826
"14305","Hypothalamus","Control","Deethylatrazine",15204505
"14306","Hypothalamus","Control","Deethylatrazine",19027856
"14307","Hypothalamus","Control","Deethylatrazine",21970126
"14308","Hypothalamus","Control","Deethylatrazine",11132061
"14309","Hypothalamus","Control","Deethylatrazine",20124598
"14310","Hypothalamus","Control","Deethylatrazine",16180304
"14311","Hypothalamus","Control","Deethylatrazine",16569343
"14312","Hypothalamus","Control","Deethylatrazine",25475022
"14313","Hypothalamus","C4","Deethylatrazine",16771491
"14314","Hypothalamus","C4","Deethylatrazine",18512312
"14315","Hypothalamus","C4","Deethylatrazine",16964876
"14316","Hypothalamus","C4","Deethylatrazine",11530768
"14317","Hypothalamus","C4","Deethylatrazine",17806946
"14318","Hypothalamus","C4","Deethylatrazine",14760971
"14319","Hypothalamus","C4","Deethylatrazine",2499765
"14320","Hypothalamus","C4","Deethylatrazine",12933212
"14321","Hypothalamus","Est","Deethylatrazine",10867626
"14322","Hypothalamus","Est","Deethylatrazine",11887622
"14323","Hypothalamus","Est","Deethylatrazine",12707304
"14324","Hypothalamus","Est","Deethylatrazine",9770873
"14325","Hypothalamus","Est","Deethylatrazine",17695584
"14326","Hypothalamus","Est","Deethylatrazine",8376484
"14327","Hypothalamus","Est","Deethylatrazine",16601549
"14328","Hypothalamus","Est","Deethylatrazine",1977966
"14329","Hippocampus","Control","3,5,6-Trichloro-2-pyridinol",39129232
"14330","Hippocampus","Control","3,5,6-Trichloro-2-pyridinol",41683488
"14331","Hippocampus","Control","3,5,6-Trichloro-2-pyridinol",38294628
"14332","Hippocampus","Control","3,5,6-Trichloro-2-pyridinol",37710504
"14333","Hippocampus","Control","3,5,6-Trichloro-2-pyridinol",37950680
"14334","Hippocampus","Control","3,5,6-Trichloro-2-pyridinol",35331052
"14335","Hippocampus","Control","3,5,6-Trichloro-2-pyridinol",36295584
"14336","Hippocampus","Control","3,5,6-Trichloro-2-pyridinol",37482236
"14337","Hippocampus","C4","3,5,6-Trichloro-2-pyridinol",41107548
"14338","Hippocampus","C4","3,5,6-Trichloro-2-pyridinol",46660420
"14339","Hippocampus","C4","3,5,6-Trichloro-2-pyridinol",37379188
"14340","Hippocampus","C4","3,5,6-Trichloro-2-pyridinol",36537236
"14341","Hippocampus","C4","3,5,6-Trichloro-2-pyridinol",36341380
"14342","Hippocampus","C4","3,5,6-Trichloro-2-pyridinol",35708008
"14343","Hippocampus","C4","3,5,6-Trichloro-2-pyridinol",39795844
"14344","Hippocampus","C4","3,5,6-Trichloro-2-pyridinol",43712836
"14345","Hippocampus","Est","3,5,6-Trichloro-2-pyridinol",39681340
"14346","Hippocampus","Est","3,5,6-Trichloro-2-pyridinol",37396644
"14347","Hippocampus","Est","3,5,6-Trichloro-2-pyridinol",38345088
"14348","Hippocampus","Est","3,5,6-Trichloro-2-pyridinol",41497972
"14349","Hippocampus","Est","3,5,6-Trichloro-2-pyridinol",39048960
"14350","Hippocampus","Est","3,5,6-Trichloro-2-pyridinol",29510386
"14351","Hippocampus","Est","3,5,6-Trichloro-2-pyridinol",40663412
"14352","Hippocampus","Est","3,5,6-Trichloro-2-pyridinol",37912740
"14353","Basal ganglia","Control","3,5,6-Trichloro-2-pyridinol",20709128
"14354","Basal ganglia","Control","3,5,6-Trichloro-2-pyridinol",21645116
"14355","Basal ganglia","Control","3,5,6-Trichloro-2-pyridinol",29265526
"14356","Basal ganglia","Control","3,5,6-Trichloro-2-pyridinol",21297660
"14357","Basal ganglia","Control","3,5,6-Trichloro-2-pyridinol",21828084
"14358","Basal ganglia","Control","3,5,6-Trichloro-2-pyridinol",21296118
"14359","Basal ganglia","Control","3,5,6-Trichloro-2-pyridinol",19748352
"14360","Basal ganglia","Control","3,5,6-Trichloro-2-pyridinol",22313778
"14361","Basal ganglia","C4","3,5,6-Trichloro-2-pyridinol",18761116
"14362","Basal ganglia","C4","3,5,6-Trichloro-2-pyridinol",16241307
"14363","Basal ganglia","C4","3,5,6-Trichloro-2-pyridinol",18548448
"14364","Basal ganglia","C4","3,5,6-Trichloro-2-pyridinol",18670500
"14365","Basal ganglia","C4","3,5,6-Trichloro-2-pyridinol",16050723
"14366","Basal ganglia","C4","3,5,6-Trichloro-2-pyridinol",21038866
"14367","Basal ganglia","C4","3,5,6-Trichloro-2-pyridinol",19402246
"14368","Basal ganglia","C4","3,5,6-Trichloro-2-pyridinol",22168698
"14369","Basal ganglia","Est","3,5,6-Trichloro-2-pyridinol",22904618
"14370","Basal ganglia","Est","3,5,6-Trichloro-2-pyridinol",24302972
"14371","Basal ganglia","Est","3,5,6-Trichloro-2-pyridinol",20513392
"14372","Basal ganglia","Est","3,5,6-Trichloro-2-pyridinol",244754
"14373","Basal ganglia","Est","3,5,6-Trichloro-2-pyridinol",218551
"14374","Basal ganglia","Est","3,5,6-Trichloro-2-pyridinol",105984
"14375","Basal ganglia","Est","3,5,6-Trichloro-2-pyridinol",87300
"14376","Basal ganglia","Est","3,5,6-Trichloro-2-pyridinol",111002
"14377","Hypothalamus","Control","3,5,6-Trichloro-2-pyridinol",25149166
"14378","Hypothalamus","Control","3,5,6-Trichloro-2-pyridinol",24893874
"14379","Hypothalamus","Control","3,5,6-Trichloro-2-pyridinol",23186982
"14380","Hypothalamus","Control","3,5,6-Trichloro-2-pyridinol",452291
"14381","Hypothalamus","Control","3,5,6-Trichloro-2-pyridinol",26107726
"14382","Hypothalamus","Control","3,5,6-Trichloro-2-pyridinol",19197488
"14383","Hypothalamus","Control","3,5,6-Trichloro-2-pyridinol",24646134
"14384","Hypothalamus","Control","3,5,6-Trichloro-2-pyridinol",7370672
"14385","Hypothalamus","C4","3,5,6-Trichloro-2-pyridinol",22920672
"14386","Hypothalamus","C4","3,5,6-Trichloro-2-pyridinol",28716894
"14387","Hypothalamus","C4","3,5,6-Trichloro-2-pyridinol",21838414
"14388","Hypothalamus","C4","3,5,6-Trichloro-2-pyridinol",24769988
"14389","Hypothalamus","C4","3,5,6-Trichloro-2-pyridinol",22360328
"14390","Hypothalamus","C4","3,5,6-Trichloro-2-pyridinol",20832574
"14391","Hypothalamus","C4","3,5,6-Trichloro-2-pyridinol",3252551
"14392","Hypothalamus","C4","3,5,6-Trichloro-2-pyridinol",26956690
"14393","Hypothalamus","Est","3,5,6-Trichloro-2-pyridinol",10833574
"14394","Hypothalamus","Est","3,5,6-Trichloro-2-pyridinol",8959123
"14395","Hypothalamus","Est","3,5,6-Trichloro-2-pyridinol",28747158
"14396","Hypothalamus","Est","3,5,6-Trichloro-2-pyridinol",23970282
"14397","Hypothalamus","Est","3,5,6-Trichloro-2-pyridinol",30397430
"14398","Hypothalamus","Est","3,5,6-Trichloro-2-pyridinol",25090370
"14399","Hypothalamus","Est","3,5,6-Trichloro-2-pyridinol",30605120
"14400","Hypothalamus","Est","3,5,6-Trichloro-2-pyridinol",9251193
"14401","Hippocampus","Control","2-Dodecoxyethyl hydrogen sulfate",2806018
"14402","Hippocampus","Control","2-Dodecoxyethyl hydrogen sulfate",2644422
"14403","Hippocampus","Control","2-Dodecoxyethyl hydrogen sulfate",2481318
"14404","Hippocampus","Control","2-Dodecoxyethyl hydrogen sulfate",2188562
"14405","Hippocampus","Control","2-Dodecoxyethyl hydrogen sulfate",1839635
"14406","Hippocampus","Control","2-Dodecoxyethyl hydrogen sulfate",2640011
"14407","Hippocampus","Control","2-Dodecoxyethyl hydrogen sulfate",2967846
"14408","Hippocampus","Control","2-Dodecoxyethyl hydrogen sulfate",2523502
"14409","Hippocampus","C4","2-Dodecoxyethyl hydrogen sulfate",2964542
"14410","Hippocampus","C4","2-Dodecoxyethyl hydrogen sulfate",2292603
"14411","Hippocampus","C4","2-Dodecoxyethyl hydrogen sulfate",3367119
"14412","Hippocampus","C4","2-Dodecoxyethyl hydrogen sulfate",2028831
"14413","Hippocampus","C4","2-Dodecoxyethyl hydrogen sulfate",2165089
"14414","Hippocampus","C4","2-Dodecoxyethyl hydrogen sulfate",2044276
"14415","Hippocampus","C4","2-Dodecoxyethyl hydrogen sulfate",2943188
"14416","Hippocampus","C4","2-Dodecoxyethyl hydrogen sulfate",2083990
"14417","Hippocampus","Est","2-Dodecoxyethyl hydrogen sulfate",2553822
"14418","Hippocampus","Est","2-Dodecoxyethyl hydrogen sulfate",2008807
"14419","Hippocampus","Est","2-Dodecoxyethyl hydrogen sulfate",2855952
"14420","Hippocampus","Est","2-Dodecoxyethyl hydrogen sulfate",1641594
"14421","Hippocampus","Est","2-Dodecoxyethyl hydrogen sulfate",1913618
"14422","Hippocampus","Est","2-Dodecoxyethyl hydrogen sulfate",1333794
"14423","Hippocampus","Est","2-Dodecoxyethyl hydrogen sulfate",2094246
"14424","Hippocampus","Est","2-Dodecoxyethyl hydrogen sulfate",2001137
"14425","Basal ganglia","Control","2-Dodecoxyethyl hydrogen sulfate",1555758
"14426","Basal ganglia","Control","2-Dodecoxyethyl hydrogen sulfate",1507671
"14427","Basal ganglia","Control","2-Dodecoxyethyl hydrogen sulfate",1743744
"14428","Basal ganglia","Control","2-Dodecoxyethyl hydrogen sulfate",1288827
"14429","Basal ganglia","Control","2-Dodecoxyethyl hydrogen sulfate",1831053
"14430","Basal ganglia","Control","2-Dodecoxyethyl hydrogen sulfate",2101308
"14431","Basal ganglia","Control","2-Dodecoxyethyl hydrogen sulfate",1562266
"14432","Basal ganglia","Control","2-Dodecoxyethyl hydrogen sulfate",2215942
"14433","Basal ganglia","C4","2-Dodecoxyethyl hydrogen sulfate",1907394
"14434","Basal ganglia","C4","2-Dodecoxyethyl hydrogen sulfate",1414663
"14435","Basal ganglia","C4","2-Dodecoxyethyl hydrogen sulfate",1640950
"14436","Basal ganglia","C4","2-Dodecoxyethyl hydrogen sulfate",1628539
"14437","Basal ganglia","C4","2-Dodecoxyethyl hydrogen sulfate",1473228
"14438","Basal ganglia","C4","2-Dodecoxyethyl hydrogen sulfate",1198077
"14439","Basal ganglia","C4","2-Dodecoxyethyl hydrogen sulfate",1551155
"14440","Basal ganglia","C4","2-Dodecoxyethyl hydrogen sulfate",1702876
"14441","Basal ganglia","Est","2-Dodecoxyethyl hydrogen sulfate",3002562
"14442","Basal ganglia","Est","2-Dodecoxyethyl hydrogen sulfate",2953145
"14443","Basal ganglia","Est","2-Dodecoxyethyl hydrogen sulfate",1582289
"14444","Basal ganglia","Est","2-Dodecoxyethyl hydrogen sulfate",3289465
"14445","Basal ganglia","Est","2-Dodecoxyethyl hydrogen sulfate",4001143
"14446","Basal ganglia","Est","2-Dodecoxyethyl hydrogen sulfate",3500358
"14447","Basal ganglia","Est","2-Dodecoxyethyl hydrogen sulfate",1941334
"14448","Basal ganglia","Est","2-Dodecoxyethyl hydrogen sulfate",3044968
"14449","Hypothalamus","Control","2-Dodecoxyethyl hydrogen sulfate",1946489
"14450","Hypothalamus","Control","2-Dodecoxyethyl hydrogen sulfate",2345307
"14451","Hypothalamus","Control","2-Dodecoxyethyl hydrogen sulfate",1632603
"14452","Hypothalamus","Control","2-Dodecoxyethyl hydrogen sulfate",773106
"14453","Hypothalamus","Control","2-Dodecoxyethyl hydrogen sulfate",3373394
"14454","Hypothalamus","Control","2-Dodecoxyethyl hydrogen sulfate",3272431
"14455","Hypothalamus","Control","2-Dodecoxyethyl hydrogen sulfate",2201670
"14456","Hypothalamus","Control","2-Dodecoxyethyl hydrogen sulfate",1301992
"14457","Hypothalamus","C4","2-Dodecoxyethyl hydrogen sulfate",2286414
"14458","Hypothalamus","C4","2-Dodecoxyethyl hydrogen sulfate",2771366
"14459","Hypothalamus","C4","2-Dodecoxyethyl hydrogen sulfate",2384838
"14460","Hypothalamus","C4","2-Dodecoxyethyl hydrogen sulfate",2695968
"14461","Hypothalamus","C4","2-Dodecoxyethyl hydrogen sulfate",2976179
"14462","Hypothalamus","C4","2-Dodecoxyethyl hydrogen sulfate",2839663
"14463","Hypothalamus","C4","2-Dodecoxyethyl hydrogen sulfate",867130
"14464","Hypothalamus","C4","2-Dodecoxyethyl hydrogen sulfate",2993107
"14465","Hypothalamus","Est","2-Dodecoxyethyl hydrogen sulfate",1591900
"14466","Hypothalamus","Est","2-Dodecoxyethyl hydrogen sulfate",1068845
"14467","Hypothalamus","Est","2-Dodecoxyethyl hydrogen sulfate",1940357
"14468","Hypothalamus","Est","2-Dodecoxyethyl hydrogen sulfate",2769720
"14469","Hypothalamus","Est","2-Dodecoxyethyl hydrogen sulfate",1971726
"14470","Hypothalamus","Est","2-Dodecoxyethyl hydrogen sulfate",2249910
"14471","Hypothalamus","Est","2-Dodecoxyethyl hydrogen sulfate",3102330
"14472","Hypothalamus","Est","2-Dodecoxyethyl hydrogen sulfate",1182606
"14473","Hippocampus","Control","Vinyl carbamate",9299351
"14474","Hippocampus","Control","Vinyl carbamate",12883981
"14475","Hippocampus","Control","Vinyl carbamate",10760321
"14476","Hippocampus","Control","Vinyl carbamate",11736572
"14477","Hippocampus","Control","Vinyl carbamate",9227552
"14478","Hippocampus","Control","Vinyl carbamate",8447939
"14479","Hippocampus","Control","Vinyl carbamate",8374612
"14480","Hippocampus","Control","Vinyl carbamate",7825654
"14481","Hippocampus","C4","Vinyl carbamate",12996392
"14482","Hippocampus","C4","Vinyl carbamate",12375628
"14483","Hippocampus","C4","Vinyl carbamate",14543785
"14484","Hippocampus","C4","Vinyl carbamate",11237412
"14485","Hippocampus","C4","Vinyl carbamate",8328504
"14486","Hippocampus","C4","Vinyl carbamate",9238722
"14487","Hippocampus","C4","Vinyl carbamate",9065925
"14488","Hippocampus","C4","Vinyl carbamate",9282304
"14489","Hippocampus","Est","Vinyl carbamate",5093252
"14490","Hippocampus","Est","Vinyl carbamate",9935216
"14491","Hippocampus","Est","Vinyl carbamate",14476021
"14492","Hippocampus","Est","Vinyl carbamate",9625849
"14493","Hippocampus","Est","Vinyl carbamate",11254888
"14494","Hippocampus","Est","Vinyl carbamate",6130040
"14495","Hippocampus","Est","Vinyl carbamate",10756262
"14496","Hippocampus","Est","Vinyl carbamate",8102747
"14497","Basal ganglia","Control","Vinyl carbamate",9541419
"14498","Basal ganglia","Control","Vinyl carbamate",8580218
"14499","Basal ganglia","Control","Vinyl carbamate",6410109
"14500","Basal ganglia","Control","Vinyl carbamate",7864800
"14501","Basal ganglia","Control","Vinyl carbamate",12401371
"14502","Basal ganglia","Control","Vinyl carbamate",12610455
"14503","Basal ganglia","Control","Vinyl carbamate",8422849
"14504","Basal ganglia","Control","Vinyl carbamate",7220440
"14505","Basal ganglia","C4","Vinyl carbamate",21633504
"14506","Basal ganglia","C4","Vinyl carbamate",23559140
"14507","Basal ganglia","C4","Vinyl carbamate",18042124
"14508","Basal ganglia","C4","Vinyl carbamate",20665298
"14509","Basal ganglia","C4","Vinyl carbamate",22910576
"14510","Basal ganglia","C4","Vinyl carbamate",19898506
"14511","Basal ganglia","C4","Vinyl carbamate",14380843
"14512","Basal ganglia","C4","Vinyl carbamate",2478926
"14513","Basal ganglia","Est","Vinyl carbamate",26852010
"14514","Basal ganglia","Est","Vinyl carbamate",21801122
"14515","Basal ganglia","Est","Vinyl carbamate",22663554
"14516","Basal ganglia","Est","Vinyl carbamate",22082408
"14517","Basal ganglia","Est","Vinyl carbamate",18917652
"14518","Basal ganglia","Est","Vinyl carbamate",13036032
"14519","Basal ganglia","Est","Vinyl carbamate",23124900
"14520","Basal ganglia","Est","Vinyl carbamate",23665034
"14521","Hypothalamus","Control","Vinyl carbamate",15748302
"14522","Hypothalamus","Control","Vinyl carbamate",18053436
"14523","Hypothalamus","Control","Vinyl carbamate",22800780
"14524","Hypothalamus","Control","Vinyl carbamate",10459721
"14525","Hypothalamus","Control","Vinyl carbamate",17162066
"14526","Hypothalamus","Control","Vinyl carbamate",14699335
"14527","Hypothalamus","Control","Vinyl carbamate",13561872
"14528","Hypothalamus","Control","Vinyl carbamate",24453708
"14529","Hypothalamus","C4","Vinyl carbamate",17363066
"14530","Hypothalamus","C4","Vinyl carbamate",18503300
"14531","Hypothalamus","C4","Vinyl carbamate",23548624
"14532","Hypothalamus","C4","Vinyl carbamate",14301484
"14533","Hypothalamus","C4","Vinyl carbamate",19599190
"14534","Hypothalamus","C4","Vinyl carbamate",15376002
"14535","Hypothalamus","C4","Vinyl carbamate",4056478
"14536","Hypothalamus","C4","Vinyl carbamate",21164190
"14537","Hypothalamus","Est","Vinyl carbamate",11896867
"14538","Hypothalamus","Est","Vinyl carbamate",13098765
"14539","Hypothalamus","Est","Vinyl carbamate",16847868
"14540","Hypothalamus","Est","Vinyl carbamate",13422225
"14541","Hypothalamus","Est","Vinyl carbamate",17751124
"14542","Hypothalamus","Est","Vinyl carbamate",12209066
"14543","Hypothalamus","Est","Vinyl carbamate",16777908
"14544","Hypothalamus","Est","Vinyl carbamate",2705373
"14545","Hippocampus","Control","Benzothiazole-2-sulfonic acid",4781108
"14546","Hippocampus","Control","Benzothiazole-2-sulfonic acid",4338916
"14547","Hippocampus","Control","Benzothiazole-2-sulfonic acid",4509183
"14548","Hippocampus","Control","Benzothiazole-2-sulfonic acid",4301798
"14549","Hippocampus","Control","Benzothiazole-2-sulfonic acid",4287836
"14550","Hippocampus","Control","Benzothiazole-2-sulfonic acid",4321120
"14551","Hippocampus","Control","Benzothiazole-2-sulfonic acid",4053222
"14552","Hippocampus","Control","Benzothiazole-2-sulfonic acid",3818134
"14553","Hippocampus","C4","Benzothiazole-2-sulfonic acid",3763580
"14554","Hippocampus","C4","Benzothiazole-2-sulfonic acid",4104280
"14555","Hippocampus","C4","Benzothiazole-2-sulfonic acid",4063699
"14556","Hippocampus","C4","Benzothiazole-2-sulfonic acid",3897171
"14557","Hippocampus","C4","Benzothiazole-2-sulfonic acid",3951162
"14558","Hippocampus","C4","Benzothiazole-2-sulfonic acid",4040968
"14559","Hippocampus","C4","Benzothiazole-2-sulfonic acid",3677805
"14560","Hippocampus","C4","Benzothiazole-2-sulfonic acid",3707425
"14561","Hippocampus","Est","Benzothiazole-2-sulfonic acid",3914440
"14562","Hippocampus","Est","Benzothiazole-2-sulfonic acid",3836940
"14563","Hippocampus","Est","Benzothiazole-2-sulfonic acid",3750692
"14564","Hippocampus","Est","Benzothiazole-2-sulfonic acid",3759818
"14565","Hippocampus","Est","Benzothiazole-2-sulfonic acid",3838681
"14566","Hippocampus","Est","Benzothiazole-2-sulfonic acid",3626410
"14567","Hippocampus","Est","Benzothiazole-2-sulfonic acid",3565386
"14568","Hippocampus","Est","Benzothiazole-2-sulfonic acid",3352624
"14569","Basal ganglia","Control","Benzothiazole-2-sulfonic acid",3407647
"14570","Basal ganglia","Control","Benzothiazole-2-sulfonic acid",3327329
"14571","Basal ganglia","Control","Benzothiazole-2-sulfonic acid",3673582
"14572","Basal ganglia","Control","Benzothiazole-2-sulfonic acid",3609586
"14573","Basal ganglia","Control","Benzothiazole-2-sulfonic acid",3363511
"14574","Basal ganglia","Control","Benzothiazole-2-sulfonic acid",3467820
"14575","Basal ganglia","Control","Benzothiazole-2-sulfonic acid",3453806
"14576","Basal ganglia","Control","Benzothiazole-2-sulfonic acid",3385731
"14577","Basal ganglia","C4","Benzothiazole-2-sulfonic acid",3347370
"14578","Basal ganglia","C4","Benzothiazole-2-sulfonic acid",3528826
"14579","Basal ganglia","C4","Benzothiazole-2-sulfonic acid",3423942
"14580","Basal ganglia","C4","Benzothiazole-2-sulfonic acid",3376649
"14581","Basal ganglia","C4","Benzothiazole-2-sulfonic acid",3283326
"14582","Basal ganglia","C4","Benzothiazole-2-sulfonic acid",3384926
"14583","Basal ganglia","C4","Benzothiazole-2-sulfonic acid",3101102
"14584","Basal ganglia","C4","Benzothiazole-2-sulfonic acid",3047882
"14585","Basal ganglia","Est","Benzothiazole-2-sulfonic acid",3201605
"14586","Basal ganglia","Est","Benzothiazole-2-sulfonic acid",3119018
"14587","Basal ganglia","Est","Benzothiazole-2-sulfonic acid",3226604
"14588","Basal ganglia","Est","Benzothiazole-2-sulfonic acid",2517340
"14589","Basal ganglia","Est","Benzothiazole-2-sulfonic acid",3005219
"14590","Basal ganglia","Est","Benzothiazole-2-sulfonic acid",3001174
"14591","Basal ganglia","Est","Benzothiazole-2-sulfonic acid",2992371
"14592","Basal ganglia","Est","Benzothiazole-2-sulfonic acid",3091579
"14593","Hypothalamus","Control","Benzothiazole-2-sulfonic acid",2564925
"14594","Hypothalamus","Control","Benzothiazole-2-sulfonic acid",2774229
"14595","Hypothalamus","Control","Benzothiazole-2-sulfonic acid",2746043
"14596","Hypothalamus","Control","Benzothiazole-2-sulfonic acid",2685466
"14597","Hypothalamus","Control","Benzothiazole-2-sulfonic acid",2635983
"14598","Hypothalamus","Control","Benzothiazole-2-sulfonic acid",2617495
"14599","Hypothalamus","Control","Benzothiazole-2-sulfonic acid",2553418
"14600","Hypothalamus","Control","Benzothiazole-2-sulfonic acid",2729779
"14601","Hypothalamus","C4","Benzothiazole-2-sulfonic acid",2712975
"14602","Hypothalamus","C4","Benzothiazole-2-sulfonic acid",2718476
"14603","Hypothalamus","C4","Benzothiazole-2-sulfonic acid",2538499
"14604","Hypothalamus","C4","Benzothiazole-2-sulfonic acid",2465636
"14605","Hypothalamus","C4","Benzothiazole-2-sulfonic acid",2698402
"14606","Hypothalamus","C4","Benzothiazole-2-sulfonic acid",2568371
"14607","Hypothalamus","C4","Benzothiazole-2-sulfonic acid",2630300
"14608","Hypothalamus","C4","Benzothiazole-2-sulfonic acid",2616888
"14609","Hypothalamus","Est","Benzothiazole-2-sulfonic acid",2493518
"14610","Hypothalamus","Est","Benzothiazole-2-sulfonic acid",2494035
"14611","Hypothalamus","Est","Benzothiazole-2-sulfonic acid",2713278
"14612","Hypothalamus","Est","Benzothiazole-2-sulfonic acid",2647805
"14613","Hypothalamus","Est","Benzothiazole-2-sulfonic acid",2573653
"14614","Hypothalamus","Est","Benzothiazole-2-sulfonic acid",2562278
"14615","Hypothalamus","Est","Benzothiazole-2-sulfonic acid",2445321
"14616","Hypothalamus","Est","Benzothiazole-2-sulfonic acid",2614631
"14617","Hippocampus","Control","Octadecanamide",7049464
"14618","Hippocampus","Control","Octadecanamide",31012708
"14619","Hippocampus","Control","Octadecanamide",27797030
"14620","Hippocampus","Control","Octadecanamide",54489284
"14621","Hippocampus","Control","Octadecanamide",27753306
"14622","Hippocampus","Control","Octadecanamide",31951662
"14623","Hippocampus","Control","Octadecanamide",26986564
"14624","Hippocampus","Control","Octadecanamide",57382480
"14625","Hippocampus","C4","Octadecanamide",33579844
"14626","Hippocampus","C4","Octadecanamide",27551358
"14627","Hippocampus","C4","Octadecanamide",20796934
"14628","Hippocampus","C4","Octadecanamide",40259476
"14629","Hippocampus","C4","Octadecanamide",22803784
"14630","Hippocampus","C4","Octadecanamide",46183544
"14631","Hippocampus","C4","Octadecanamide",24225808
